incd
Incidence Rate Report by State,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2013-2017",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Arkansas(6),5000,***,472.8,469.6,476.1,12,9,15,16981,stable,0.2,0.0,0.4
Connecticut(7),9000,***,470.6,467.7,473.6,13,10,18,21014,falling,-1.3,-1.5,-1.1
Mississippi(6),28000,***,470.6,467.3,473.9,14,10,18,16246,falling,-0.7,-1.1,-0.2
North Carolina(6),37000,***,468.4,466.6,470.2,15,12,18,55290,falling,-0.7,-0.9,-0.4
Minnesota(6),27000,***,467.4,465,469.8,16,13,21,29787,stable,-0.3,-0.5,0.0
Georgia(7),13000,***,467,465.1,468.9,17,13,21,50414,falling,-0.3,-0.5,-0.2
Illinois(6),17000,***,465.5,463.9,467.1,18,15,22,68502,falling,-0.6,-0.9,-0.4
Ohio(6),39000,***,465.3,463.7,466.9,19,15,22,66270,falling,-0.3,-0.5,-0.1
Wisconsin(6),55000,***,464.5,462.2,466.9,20,15,24,32591,falling,-0.9,-1.5,-0.4
Tennessee(6),47000,***,463.3,461.1,465.4,21,17,24,36497,falling,-0.6,-0.9,-0.4
Nebraska(6),31000,***,461.9,457.8,466.1,22,16,27,9987,stable,0.9,-0.2,2.0
Montana(6),30000,***,459.7,454.4,465.1,23,16,32,6099,falling,-0.6,-0.8,-0.3
Indiana(6),18000,***,459.3,457.1,461.5,24,22,27,34989,falling,-0.6,-0.8,-0.4
South Dakota(6),46000,***,459.1,453.1,465.3,25,15,35,4635,stable,-0.2,-0.6,0.2
Florida(6),12000,***,457.1,455.9,458.2,26,23,29,126552,falling,-0.7,-0.9,-0.4
Missouri(6),29000,***,454.9,452.6,457.1,27,24,33,33438,falling,-0.7,-1.0,-0.5
Vermont(6),50000,***,454.4,447.6,461.2,28,20,37,3755,falling,-0.9,-1.2,-0.6
South Carolina(6),45000,***,454.1,451.7,456.6,29,25,34,27326,falling,-0.7,-0.9,-0.6
North Dakota(6),38000,***,453.8,447.1,460.5,30,21,38,3772,falling,-0.3,-0.5,-0.1
Maryland(6),24000,***,453.8,451.5,456.1,31,25,35,31243,falling,-0.6,-0.9,-0.3
Massachusetts(7),25000,***,452.7,450.5,454.8,32,27,35,37030,falling,-1.8,-2.3,-1.3
Kansas(6),20000,***,452.4,449.1,455.7,33,25,36,14969,falling,-0.9,-1.3,-0.5
Alabama(6),1000,***,451.5,449,454,34,27,36,26535,falling,-0.8,-1.3,-0.3
Oklahoma(6),40000,***,449.8,446.9,452.6,35,29,37,20028,falling,-0.7,-1.0,-0.4
Michigan(5),26000,***,448.8 #,447.1,450.5,36,33,37,54779,falling,-1.2,-1.4,-1.0
Washington(5),53000,***,446.2,444.1,448.3,37,35,38,36426,falling,-1.1,-1.3,-0.9
Idaho(7),16000,***,442.2,437.8,446.6,38,36,39,8199,falling,-0.5,-0.7,-0.3
Oregon(6),41000,***,434.3,431.7,437,39,39,40,21551,falling,-0.9,-1.2,-0.7
District of Columbia(6),11001,***,429.1,421.9,436.4,40,39,41,2837,falling,-4.0,-6.2,-1.8
Alaska(6),2900,***,417.2,409.9,424.6,41,40,44,2847,falling,-2.0,-2.6,-1.5
Hawaii(7),15000,***,416.5,412.1,421,42,41,43,7284,falling,-0.2,-0.3,-0.1
Virginia(6),51000,***,416.1,414.2,418,43,41,43,39724,falling,-1.5,-1.9,-1.1
Texas(6),48000,***,407.7,406.6,408.8,44,43,45,110104,falling,-0.9,-1.3,-0.5
California(7),6000,***,404.6,403.7,405.5,45,45,47,168603,falling,-1.6,-1.8,-1.4
Utah(7),49000,***,402.3,398.8,405.8,46,45,49,10430,falling,-1.0,-1.5,-0.6
Wyoming(6),56000,***,400.6,393.6,407.6,47,44,49,2708,falling,-0.9,-1.3,-0.6
Colorado(6),8000,***,399.1,396.7,401.5,48,46,49,23233,falling,-1.6,-2.0,-1.2
Nevada(6),32000,***,397.2,394.1,400.4,49,46,49,12942,falling,-1.6,-1.9,-1.2
Arizona(6),4000,***,386.7,384.8,388.7,50,50,50,31476,falling,-1.2,-1.6,-0.9
New Mexico(7),35000,***,374.9,371.5,378.5,51,51,51,9311,falling,-1.4,-1.8,-0.9
Puerto Rico(6),72001,***,355.4,352.9,358,N/A , N/A , N/A,15726,stable,-2.4,-7.0,2.5
,,,,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 05/08/2021 7:00 am.,,,,,,,,,,,,,
,,,,,,,,,,,,,
State Cancer Registries may provide more current or more local data.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Trend,,,,,,,,,,,,,
Rising when 95% confidence interval of average annual percent change is above 0.,,,,,,,,,,,,,
Stable when 95% confidence interval of average annual percent change includes 0.,,,,,,,,,,,,,
Falling when 95% confidence interval of average annual percent change is below 0.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2017 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,,,,
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ].",,,,,,,,,,,,,
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website.",,,,,,,,,,,,,
*** No Healthy People 2020 Objective for this cancer.,,,,,,,,,,,,,
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ].,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Data do not include cases diagnosed in other states for those states in which the data exchange agreement specifically prohibits the release of data to third parties.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2017) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2019 submission.",,,,,,,,,,,,,
"5 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2017) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2019 submission.",,,,,,,,,,,,,
"6 Source: National Program of Cancer Registries SEER*Stat Database (2001-2017) - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2019 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]",,,,,,,,,,,,,
7 Source: SEER November 2019 submission.,,,,,,,,,,,,,
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2017 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2019 data.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,,,,
